Origin,Destination,TTT,LOS,Departure Time,Departure Date,Arrival Time,Return Departure Time,Return Date,Return Arrival Time,Onward Departure Airport,Onward Arrival Airport,Return Departure Airport,Return Arrival Airport,Onward Airlines,Return Airlines,Onward Flight Connections,Onward Connection Duration(min),Onward Flight Connection Airport,Return Flight Connections,Return Connection Duration(min),Return Flight Connection Airport,Carry-ons,Checked Bags,Price(NIS),Snapshot Time,Site,Total Onward Flight Duration(min),Total Return Flight Duration(min)
Paris,Rome,3,4,6:40,3/3/2025,8:40,6:10,7/3/2025,8:25,ORY,FCO,FCO,BVA,Vueling,Ryanair,nonstop,,,nonstop,,,0,0,895,28/02/2025,Momondo,120,135
Paris,Rome,3,4,20:40,3/3/2025,22:45,6:00,7/3/2025,8:15,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,921,28/02/2025,Momondo,125,135
Paris,Rome,3,4,15:20,3/3/2025,17:25,12:50,7/3/2025,15:00,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,1054,28/02/2025,Momondo,125,130
Paris,Rome,3,4,6:55,3/3/2025,9:00,10:05,7/3/2025,12:20,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,1051,28/02/2025,Momondo,125,135
Paris,Rome,3,4,20:40,3/3/2025,22:45,10:05,7/3/2025,12:20,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,1051,28/02/2025,Momondo,125,135
Paris,Rome,3,4,13:45,3/3/2025,15:50,6:00,7/3/2025,8:15,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,1084,28/02/2025,Momondo,125,135
Paris,Rome,3,4,15:00,3/3/2025,16:55,19:35,7/3/2025,21:45,ORY,FCO,FCO,ORY,Vueling,Vueling,nonstop,,,nonstop,,,0,0,1069,28/02/2025,Momondo,115,130
Paris,Rome,3,4,11:45,3/3/2025,13:50,6:40,7/3/2025,8:55,CDG,FCO,FCO,ORY,ITA Airways,Vueling,nonstop,,,nonstop,,,0,0,1077,28/02/2025,Momondo,125,135
Paris,Rome,3,4,13:05,3/3/2025,15:00,19:35,7/3/2025,21:50,ORY,FCO,FCO,ORY,easyJet,Transavia France,nonstop,,,nonstop,,,0,0,1077,28/02/2025,Momondo,115,135
Paris,Rome,3,4,14:05,3/3/2025,16:10,6:40,7/3/2025,8:55,CDG,FCO,FCO,ORY,ITA Airways,Vueling,nonstop,,,nonstop,,,0,0,1077,28/02/2025,Momondo,125,135
Paris,Rome,3,4,18:10,3/3/2025,20:15,6:40,7/3/2025,8:55,CDG,FCO,FCO,ORY,ITA Airways,Vueling,nonstop,,,nonstop,,,0,0,1077,28/02/2025,Momondo,125,135
Paris,Rome,3,4,6:00,3/3/2025,8:05,21:30,7/3/2025,23:40,ORY,FCO,FCO,CDG,Transavia France,ITA Airways,nonstop,,,nonstop,,,1,0,862,28/02/2025,Momondo,125,130
